machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B76352,1,1,MASc KA 6 blocks,mip,56,56,14,1
fb_01,B77300,1,1,MASc KA 6 blocks,mip,56,56,14,1
fb_01,B77363,1,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B76352,1,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B76352,1,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B77300,1,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B76319,1,1,MASc KA 6 blocks,mip,56,56,14,1
sk_01,B77300,1,1,MASc KA 6 blocks,mip,56,56,14,1
sk_01,B77363,1,1,MASc KA 6 blocks,mip,56,56,14,1
sk_02,B77300,1,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B77300,2,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B77363,2,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B76352,2,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B77300,2,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B77363,2,1,MASc KA 6 blocks,mip,56,56,14,1
sk_01,B76352,2,1,MASc KA 6 blocks,mip,56,56,14,1
sk_01,B77300,2,1,MASc KA 6 blocks,mip,56,56,14,1
sk_02,B76352,2,1,MASc KA 6 blocks,mip,56,56,14,1
sk_02,B77252,2,1,MASc KA 6 blocks,mip,56,56,14,1
fb_01,B76319,3,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B76319,3,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B76352,3,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B76352,3,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B76352,3,1,MASc KA 6 blocks,mip,56,56,14,1
sk_01,B76319,3,1,MASc KA 6 blocks,mip,56,56,14,1
fb_01,B74735,4,1,MASc KA 6 blocks,mip,56,56,14,1
fb_01,B74735,4,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B74735,4,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B76352,4,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B76319,4,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B76319,4,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B76319,4,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B76352,4,1,MASc KA 6 blocks,mip,56,56,14,1
sk_01,B76352,4,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B74735,5,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B76352,5,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B74735,5,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B74735,5,1,MASc KA 6 blocks,mip,56,56,14,1
sk_02,B74735,5,1,MASc KA 6 blocks,mip,56,56,14,1
fb_01,B76352,6,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B76352,6,1,MASc KA 6 blocks,mip,56,56,14,1
fb_02,B77363,6,1,MASc KA 6 blocks,mip,56,56,14,1
ld_01,B74735,6,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B76319,6,1,MASc KA 6 blocks,mip,56,56,14,1
pr_01,B77363,6,1,MASc KA 6 blocks,mip,56,56,14,1
sk_01,B77363,6,1,MASc KA 6 blocks,mip,56,56,14,1
sk_02,B77363,6,1,MASc KA 6 blocks,mip,56,56,14,1
