machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B74735,1,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B76319,1,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B77363,1,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B74735,1,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B74735,1,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B76319,1,1,MASc KA 6 blocks,mip,28,28,14,1
pr_01,B74735,1,1,MASc KA 6 blocks,mip,28,28,14,1
sk_01,B76319,1,1,MASc KA 6 blocks,mip,28,28,14,1
sk_01,B77363,1,1,MASc KA 6 blocks,mip,28,28,14,1
sk_02,B74735,1,1,MASc KA 6 blocks,mip,28,28,14,1
sk_02,B77363,1,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B76352,2,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B76352,2,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B76352,2,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B76352,2,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B77252,2,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B77363,2,1,MASc KA 6 blocks,mip,28,28,14,1
ld_01,B74735,2,1,MASc KA 6 blocks,mip,28,28,14,1
pr_01,B74735,2,1,MASc KA 6 blocks,mip,28,28,14,1
pr_01,B76319,2,1,MASc KA 6 blocks,mip,28,28,14,1
pr_01,B77363,2,1,MASc KA 6 blocks,mip,28,28,14,1
sk_01,B74735,2,1,MASc KA 6 blocks,mip,28,28,14,1
sk_01,B76319,2,1,MASc KA 6 blocks,mip,28,28,14,1
sk_01,B77363,2,1,MASc KA 6 blocks,mip,28,28,14,1
sk_02,B76319,2,1,MASc KA 6 blocks,mip,28,28,14,1
sk_02,B76352,2,1,MASc KA 6 blocks,mip,28,28,14,1
sk_02,B77363,2,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B74735,3,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B76319,3,1,MASc KA 6 blocks,mip,28,28,14,1
fb_01,B76319,3,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B76319,3,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B76319,3,1,MASc KA 6 blocks,mip,28,28,14,1
fb_02,B77252,3,1,MASc KA 6 blocks,mip,28,28,14,1
ld_01,B76352,3,1,MASc KA 6 blocks,mip,28,28,14,1
ld_01,B77363,3,1,MASc KA 6 blocks,mip,28,28,14,1
ld_01,B77363,3,1,MASc KA 6 blocks,mip,28,28,14,1
pr_01,B74735,3,1,MASc KA 6 blocks,mip,28,28,14,1
pr_01,B76319,3,1,MASc KA 6 blocks,mip,28,28,14,1
pr_01,B76352,3,1,MASc KA 6 blocks,mip,28,28,14,1
sk_01,B76319,3,1,MASc KA 6 blocks,mip,28,28,14,1
