machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B42891,1,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B44010,1,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B45231,1,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B42891,1,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B65573,1,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B65573,1,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B42891,2,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B44010,2,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B55424,2,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B55424,2,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B55424,2,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B65573,2,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B42891,3,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B42891,3,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B55424,3,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B45231,3,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B53160,3,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B55424,3,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B42891,4,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B55424,4,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B55424,4,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B42891,4,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B55424,4,1,MASc PG 6 blocks,sa,56,56,1,1
fb_02,B55424,4,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B42891,5,1,MASc PG 6 blocks,sa,56,56,1,1
fb_01,B45231,5,1,MASc PG 6 blocks,sa,56,56,1,1
